clientes,data_aquisicao,dat_cancelamento
Susan Sherrell,2024-02-16,2024-06-08
Anthony Martens,2020-07-01,2021-05-02
Sharleen Myers,2022-02-03,2022-11-30
William Bird,2020-06-24,2021-05-01
Victoria James,2026-01-02,2026-11-04
Dorothy Lopez,2022-09-05,2023-08-06
Merrilee Sturdivant,2026-07-24,2027-06-22
Julie Royster,2026-09-25,2027-07-30
Marie Dudley,2025-06-20,2025-12-19
Barry Granier,2020-06-23,2021-04-25
Linda Porter,2021-04-30,2022-01-09
Thomas Hommel,2025-08-25,2026-02-04
Matthew Case,2023-08-16,2023-11-13
Irene Wilkin,2021-03-26,2022-01-22
Jeffrey Brantley,2024-01-20,2024-07-22
Ronald Swann,2026-05-07,2026-12-16
Michael Landres,2023-05-16,2024-04-13
Melanie Acuff,2021-02-18,2021-06-09
Ernesto Gostlin,2025-07-27,2026-07-08
Kerri Delgado,2024-05-22,2025-01-22
Marjorie Lewis,2022-03-04,2022-07-01
Dollie Jenkins,2023-08-12,2023-11-12
William Murillo,2023-10-12,2024-04-15
Imogene Davis,2021-04-09,2021-05-12
David Bailey,2022-09-17,2023-05-17
Ryan Moore,2025-08-30,2026-04-15
Lucille Duchon,2020-05-17,2020-10-05
Robert Mikesell,2022-09-04,2023-01-06
Yolanda Howerton,2022-06-19,2022-12-25
Daniel Urbina,2020-09-26,2020-12-20
Keith Klein,2021-04-13,2021-07-04
Pamela Pierce,2024-08-09,2025-01-30
Dennis Witt,2026-05-03,2027-01-18
Christopher Fernandez,2021-01-11,2021-04-29
Margaret Gray,2020-12-04,2021-11-30
Stephanie Booth,2020-07-09,2021-03-20
Virginia Frederick,2024-02-09,2024-03-22
Dorothy Delahoussaye,2024-05-04,2025-03-11
Tanya Armstrong,2026-08-28,2026-12-01
Jamie Gonzales,2023-09-13,2024-01-28
Richard Viray,2024-07-23,2025-04-07
Amy Bradley,2023-09-05,2024-02-16
Melissa Hancock,2024-02-19,2024-08-13
Steven Moore,2023-05-10,2023-09-04
Colleen Marlar,2023-04-07,2024-03-19
Harold Holloway,2025-09-01,2026-03-23
Kelly Golden,2021-03-14,2022-02-05
Michael Carey,2020-01-23,2020-05-29
Ron Poblete,2026-07-17,2027-01-23
Larissa Carr,2024-05-28,2024-12-21
Ruth Pigeon,2024-01-12,2024-05-01
Tijuana Lester,2021-02-26,2021-06-30
Margaret Ware,2026-10-16,2027-06-23
Alma Smith,2021-12-31,2022-02-19
Barbara Davis,2020-10-09,2021-05-05
Stephanie Lodge,2021-09-07,2022-01-27
Maria Shick,2026-11-01,2027-09-18
Andrew Green,2024-05-01,2025-01-28
Christopher Mayo,2025-12-15,2026-05-30
Barbara Bradney,2026-09-02,2026-12-02
Cecelia Claussen,2020-02-20,2020-08-09
Darlene Zubiate,2024-03-10,2025-02-26
Angel Grate,2022-11-29,2023-01-09
Alfred Jackson,2024-02-08,2024-08-23
Mildred Newhall,2021-12-30,2022-12-02
Maxine Goto,2026-01-13,2026-08-15
Marilyn Nelson,2023-08-26,2024-07-20
Susan Davis,2022-04-02,2022-12-05
Carlos Speth,2022-10-07,2023-02-06
Bryan Holmes,2021-05-14,2021-07-02
Christopher Strand,2024-04-17,2024-06-16
Vivian Ran,2026-05-07,2026-10-21
Dale Foglesong,2020-08-19,2021-06-30
Dale Goodman,2024-06-12,2025-04-24
Darren Guajardo,2024-05-21,2024-10-13
Belinda Arroyo,2025-06-19,2025-09-28
Edward Lopez,2026-09-12,2026-12-03
Debbie Tooley,2024-07-19,2025-07-16
Janice Chatman,2024-05-27,2025-01-20
Virginia Wright,2026-07-13,
Catherine Brown,2025-06-16,
Joann Smith,2025-01-18,
Melissa Reyes,2021-09-04,
Jeffrey Edwards,2026-04-27,
Leonard Ralston,2024-08-15,
Alicia Whitacre,2024-01-06,
Carla Baumann,2021-10-14,
William Jacobs,2021-09-20,
William Wright,2024-06-17,
Adrianne Harren,2022-08-10,
Jana Knox,2022-06-06,
Lisha Wojcik,2025-08-07,
Linda Lewis,2020-11-01,
Dennis Cunningham,2023-08-08,
Roger Rentz,2020-11-02,
Santana Pollard,2020-06-11,
Brandon Hurdle,2022-02-18,
Brian Hammond,2022-02-15,
